address,fraud_flag,has_transaction_activity,has_token_activity,log_total_transactions,log_unique_receivers,log_unique_senders,log_total_eth_sent,log_total_eth_received,log_avg_eth_sent,log_avg_eth_received,log_wallet_lifetime_days,transactions_per_active_day,avg_gas_limit,avg_gas_price,log_total_token_transfers,log_unique_token_receivers,log_token_activity_lifetime_days,token_transfers_per_active_day
0x9159a5376db32911c821ff4ecb32f780f735b14f,0,1,0,1.6094379124341003,1.0986122886681098,0.6931471805599453,4.624958222801328,4.624972813284271,3.545764300578538,4.624972813284271,1.0986122886681098,2.0,67000.0,23622514337.0,0.0,0.0,0.0,0.0
0x39349d143b77c902beab5e47ee69b9e8d0f541f8,0,1,0,1.6094379124341003,1.0986122886681098,0.6931471805599453,4.624958222801328,4.624972813284271,3.545764300578538,4.624972813284271,1.0986122886681098,2.0,67000.0,23622514337.0,0.0,0.0,0.0,0.0
0x37299afb440510dcb591834753267209f6c8aeac,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624962752268922,4.624972813284271,3.941571844334588,3.9415818076696905,1.0986122886681098,2.0,55500.0,24433771505.5,0.0,0.0,0.0,0.0
0x621598528cb4d256e0ae54237c4714a84027a804,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624962752268922,4.624972813284271,3.941571844334588,3.9415818076696905,1.0986122886681098,2.0,55500.0,24433771505.5,0.0,0.0,0.0,0.0
0x55bc851fb110042da5a7218b48d292f0c3ad27bb,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0xcd7262dbd7551be8e44962b6d53e5b42cab5567e,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.624963164037686,4.624972813284271,3.941572252105558,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x87f99eccf57e10e77c5b03b10f13d6b63d91a801,0,1,0,1.6094379124341003,1.0986122886681098,1.0986122886681098,4.6249588082214625,4.624972813284271,3.941567938579309,3.9415818076696905,1.0986122886681098,2.0,55500.0,23433771505.5,0.0,0.0,0.0,0.0
0x9b6978c2fee2ea45f6e449b0e892d550b554d4bd,0,1,0,1.6094379124341003,1.0986122886681098,0.6931471805599453,4.624948736343412,4.624972813284271,3.545754996555964,4.624972813284271,1.0986122886681098,2.0,67000.0,24289181003.666664,0.0,0.0,0.0,0.0
0xa220ff5bfb5d0f4ba72b08b9c55e4afdc9430d3f,0,1,0,1.791759469228055,1.0986122886681098,1.0986122886681098,4.624958222801328,4.624972813284271,3.545764300578538,3.9415818076696905,1.0986122886681098,2.5,67000.0,23622514337.0,0.0,0.0,0.0,0.0
0x60e3fef7cc3d019a453482727f5d014a0743aa35,0,1,0,1.9459101490553132,1.0986122886681098,1.0986122886681098,4.624953428176899,4.624972813284271,3.267647157795686,3.9415818076696905,1.0986122886681098,3.0,72750.0,23538830799.75,0.0,0.0,0.0,0.0
0xab1a089b30abce65663a1dad8bca50e216a17af1,0,1,0,2.0794415416798357,1.0986122886681098,1.6094379124341003,2.0963972500154417,2.09654776488489,1.217560292705917,1.0240707463825947,5.707110264748875,1.4,67000.0,19441299852.333332,0.0,0.0,0.0,0.0
0x8e2140163b0233dfdd0ab014bc3d0375d4a5efa8,0,1,0,2.3978952727983707,1.0986122886681098,1.791759469228055,2.182263117455829,2.1827367064681495,0.9451773983801629,0.9455037780382758,4.454347296253507,2.0,21000.0,40000000000.0,0.0,0.0,0.0,0.0
